0debe5b,doba0032,29 minutes ago,Added Username and password file
082df5e,shaonbarua001,2 hours ago,minor error fixed_v0.1
70651e3,doba0032,2 hours ago,minor mistake fixed
c5e6a93,shaonbarua001,2 hours ago,user pass encryption
51bb885,shaonbarua001,2 hours ago,user pass encryption
0368eaa,doba0032,3 hours ago,Add git log data to c3-log.csv
88e0063,doba0032,3 hours ago,small changes
62c4d99,shaonbarua001,4 hours ago,Update AI-acknowledgement.md
8625e7f,shaonbarua001,4 hours ago,Update AI-acknowledgement.md
3c4f9bd,shaonbarua001,4 hours ago,Update AI-acknowledgement.md
86d6a3d,shaonbarua001,4 hours ago,Update AI-acknowledgement.md
c9a4f39,shaonbarua001,4 hours ago,Update artist.php
fc2dad5,doba0032,6 hours ago,Merge pull request #94 from doba0032/HTML/doba0032/update-paths
240b717,doba0032,6 hours ago,Added remain paths
4b4dbad,shaonbarua001,11 hours ago,commit merge
9ac99c3,shaonbarua001,11 hours ago,removed dupicated code from art details
7f94aa3,shaonbarua001,11 hours ago,completed and fixed artist panel inconsistancies
0b77244,doba0032,14 hours ago,added AI acknoledgement
cb4f91b,doba0032,14 hours ago,got back code
013073d,doba0032,14 hours ago,added code for testing purpose
4954536,doba0032,14 hours ago,Merge pull request #93 from doba0032/php/doba0032/report
ffd6842,doba0032,14 hours ago,Added code in report.php
16b63bc,doba0032,15 hours ago,Merge pull request #92 from doba0032/html/wagl0016/Ai-Declaration
b6ed625,doba0032,15 hours ago,Merge branch 'main' into html/wagl0016/Ai-Declaration
eec91c1,Sirjana wagle,15 hours ago,update Ai-Acknowledgment
c09b91e,doba0032,15 hours ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
054cd90,doba0032,15 hours ago,Added paths
536221d,doba0032,15 hours ago,Merge pull request #91 from doba0032/html/wagl0016/ai_declaration
c1024cc,Sirjana wagle,15 hours ago,small change
12a7199,Sirjana wagle,15 hours ago,added ai-acknowldegment
f51d907,wagl0016,15 hours ago,Merge pull request #90 from doba0032/html/wagl0016/home_page_html_update
88068cc,Sirjana wagle,16 hours ago,upadte home page html and css
2c81de7,wagl0016,16 hours ago,Merge pull request #88 from doba0032/php/chow0250/profile.php
608c42b,wagl0016,16 hours ago,Merge pull request #87 from doba0032/html/shao0093/artist-dashboard
0b07d78,doba0032,16 hours ago,Merge pull request #89 from doba0032/javascript/chow0250/update-auth
d11071e,Sirjana wagle,16 hours ago,Merge branch 'main' of https://github.com/doba0032/COMP9030-Assignment
70288af,Sirjana wagle,16 hours ago,added php for editing submission
05c617d,Asif,16 hours ago,Update auth.js
042e840,Asif,16 hours ago,Update AI-acknoledgement.md
b1f85ba,Asif,16 hours ago,Update profile.php
ebc79c9,doba0032,16 hours ago,Merge branch 'main' into html/shao0093/artist-dashboard
3db2e4c,shaonbarua001,16 hours ago,made some changes in js file of artist
71bb624,shaonbarua001,16 hours ago,made changes in atist php file
75affef,Asif,17 hours ago,Merge pull request #85 from doba0032/php/doba0032/add-delete-submission-file
2807ec2,Asif,17 hours ago,Merge pull request #86 from doba0032/html/wagl0016/Edit_Artworks.php
abc56bd,shaonbarua001,17 hours ago,artist php code added for backend data storage
b73828b,doba0032,17 hours ago,Update delete_submission.php
4ba4da4,Sirjana wagle,17 hours ago,changes small code in artworks.php
c1cb864,Asif,17 hours ago,Merge pull request #84 from doba0032/php-js/shaf0084/update-file
89322b9,Shaf0084,17 hours ago,Update AI-acknowledgement.md
cbeaac5,Shaf0084,17 hours ago,Update home-page.js
a02cae1,Shaf0084,17 hours ago,Update config.php
5583421,Sirjana wagle,17 hours ago,Update Home-Page.html
da79b9c,Asif,17 hours ago,Merge pull request #83 from doba0032/php/chow0250/update-auth
736ff38,Asif,17 hours ago,Update AI-acknowledgement.md
f10882d,doba0032,17 hours ago,Merge pull request #82 from doba0032/php/chow0250/update-auth
8617b00,Asif,17 hours ago,Update code
f7fe294,doba0032,17 hours ago,Merge pull request #80 from doba0032/php/shaf0084/structure-comment
